city,year,weekofyear,total_cases
sj,1994,42,16
sj,1994,43,8
sj,1994,44,7
sj,1994,45,10
sj,1994,46,14
sj,1994,47,7
sj,1994,48,9
sj,1994,49,11
sj,1994,50,23
sj,1994,51,17
sj,1995,52,19
sj,1995,1,24
sj,1995,2,17
sj,1995,3,28
sj,1995,4,40
sj,1995,5,33
sj,1995,6,31
sj,1995,7,33
sj,1995,8,29
sj,1995,9,30
sj,1995,10,36
sj,1995,11,48
sj,1995,12,40
sj,1995,13,28
sj,1995,14,36
sj,1995,15,19
sj,1995,16,34
sj,1995,17,23
sj,1995,18,17
sj,1995,19,17
sj,1995,20,23
sj,1995,21,14
sj,1995,22,20
sj,1995,23,13
sj,1995,24,23
sj,1995,25,20
sj,1995,26,16
sj,1995,27,16
sj,1995,28,23
sj,1995,29,14
sj,1995,30,15
sj,1995,31,4
sj,1995,32,5
sj,1995,33,5
sj,1995,34,11
sj,1995,35,11
sj,1995,36,7
sj,1995,37,4
sj,1995,38,6
sj,1995,39,5
sj,1995,40,2
sj,1995,41,4
sj,1995,42,2
sj,1995,43,4
sj,1995,44,6
sj,1995,45,6
sj,1995,46,4
sj,1995,47,6
sj,1995,48,11
sj,1995,49,16
sj,1995,50,9
sj,1995,51,12
sj,1996,1,13
sj,1996,2,27
sj,1996,3,21
sj,1996,4,19
sj,1996,5,17
sj,1996,6,24
sj,1996,7,27
sj,1996,8,30
sj,1996,9,29
sj,1996,10,25
sj,1996,11,35
sj,1996,12,33
sj,1996,13,30
sj,1996,14,29
sj,1996,15,31
sj,1996,16,29
sj,1996,17,22
sj,1996,18,27
sj,1996,19,24
sj,1996,20,26
sj,1996,21,29
sj,1996,22,22
sj,1996,23,33
sj,1996,24,24
sj,1996,25,30
sj,1996,26,20
sj,1996,27,17
sj,1996,28,24
sj,1996,29,28
sj,1996,30,18
sj,1996,31,13
sj,1996,32,9
sj,1996,33,14
sj,1996,34,11
sj,1996,35,11
sj,1996,36,19
sj,1996,37,10
sj,1996,38,8
sj,1996,39,8
sj,1996,40,9
sj,1996,41,3
sj,1996,42,7
sj,1996,43,14
sj,1996,44,4
sj,1996,45,9
sj,1996,46,14
sj,1996,47,7
sj,1996,48,9
sj,1996,49,3
sj,1996,50,3
sj,1996,51,14
sj,1996,52,12
sj,1997,1,10
sj,1997,2,21
sj,1997,3,26
sj,1997,4,47
sj,1997,5,42
sj,1997,6,31
sj,1997,7,34
sj,1997,8,33
sj,1997,9,52
sj,1997,10,56
sj,1997,11,70
sj,1997,12,112
sj,1997,13,70
sj,1997,14,47
sj,1997,15,48
sj,1997,16,49
sj,1997,17,66
sj,1997,18,56
sj,1997,19,61
sj,1997,20,67
sj,1997,21,64
sj,1997,22,68
sj,1997,23,49
sj,1997,24,50
sj,1997,25,56
sj,1997,26,75
sj,1997,27,63
sj,1997,28,62
sj,1997,29,41
sj,1997,30,50
sj,1997,31,34
sj,1997,32,31
sj,1997,33,38
sj,1997,34,30
sj,1997,35,32
sj,1997,36,26
sj,1997,37,30
sj,1997,38,36
sj,1997,39,35
sj,1997,40,46
sj,1997,41,48
sj,1997,42,44
sj,1997,43,51
sj,1997,44,59
sj,1997,45,71
sj,1997,46,102
sj,1997,47,128
sj,1997,48,127
sj,1997,49,150
sj,1997,50,191
sj,1997,51,256
sj,1997,52,329
sj,1998,1,263
sj,1998,2,220
sj,1998,3,204
sj,1998,4,181
sj,1998,5,99
sj,1998,6,54
sj,1998,7,80
sj,1998,8,102
sj,1998,9,127
sj,1998,10,73
sj,1998,11,68
sj,1998,12,64
sj,1998,13,55
sj,1998,14,67
sj,1998,15,84
sj,1998,16,85
sj,1998,17,67
sj,1998,18,73
sj,1998,19,89
sj,1998,20,68
sj,1998,21,59
sj,1998,22,56
sj,1998,23,77
sj,1998,24,75
sj,1998,25,47
sj,1998,26,50
sj,1998,27,42
sj,1998,28,28
sj,1998,29,37
sj,1998,30,37
sj,1998,31,27
sj,1998,32,12
sj,1998,33,15
sj,1998,34,22
sj,1998,35,8
sj,1998,36,15
sj,1998,37,17
sj,1998,38,10
sj,1998,39,9
sj,1998,40,11
sj,1998,41,20
sj,1998,42,13
sj,1998,43,11
sj,1998,44,16
sj,1998,45,11
sj,1998,46,7
sj,1998,47,17
sj,1998,48,14
sj,1998,49,13
sj,1998,50,15
sj,1998,51,30
sj,1998,52,25
sj,1999,53,40
sj,1999,1,44
sj,1999,2,25
sj,1999,3,21
sj,1999,4,48
sj,1999,5,56
sj,1999,6,60
sj,1999,7,45
sj,1999,8,55
sj,1999,9,32
sj,1999,10,46
sj,1999,11,61
sj,1999,12,42
sj,1999,13,37
sj,1999,14,43
sj,1999,15,34
sj,1999,16,40
sj,1999,17,25
sj,1999,18,16
sj,1999,19,17
sj,1999,20,17
sj,1999,21,16
sj,1999,22,23
sj,1999,23,18
sj,1999,24,18
sj,1999,25,9
sj,1999,26,7
sj,1999,27,7
sj,1999,28,4
sj,1999,29,3
sj,1999,30,2
sj,1999,31,8
sj,1999,32,3
sj,1999,33,1
sj,1999,34,1
sj,1999,35,2
sj,1999,36,3
sj,1999,37,3
sj,1999,38,2
sj,1999,39,0
sj,1999,40,0
sj,1999,41,2
sj,1999,42,2
sj,1999,43,0
sj,1999,44,6
sj,1999,45,3
sj,1999,46,6
sj,1999,47,2
sj,1999,48,3
sj,1999,49,2
sj,1999,50,4
sj,1999,51,5
sj,2000,52,2
sj,2000,1,9
sj,2000,2,2
sj,2000,3,4
sj,2000,4,8
sj,2000,5,6
sj,2000,6,3
sj,2000,7,11
sj,2000,8,14
sj,2000,9,15
sj,2000,10,20
sj,2000,11,9
sj,2000,12,20
sj,2000,13,28
sj,2000,14,38
sj,2000,15,30
sj,2000,16,30
sj,2000,17,23
sj,2000,18,16
sj,2000,19,22
sj,2000,20,28
sj,2000,21,14
sj,2000,22,17
sj,2000,23,20
sj,2000,24,17
sj,2000,25,10
sj,2000,26,13
sj,2000,27,20
sj,2000,28,9
sj,2000,29,18
sj,2000,30,9
sj,2000,31,8
sj,2000,32,19
sj,2000,33,11
sj,2000,34,4
sj,2000,35,6
sj,2000,36,6
sj,2000,37,8
sj,2000,38,13
sj,2000,39,8
sj,2000,40,8
sj,2000,41,5
sj,2000,42,16
sj,2000,43,12
sj,2000,44,11
sj,2000,45,18
sj,2000,46,10
sj,2000,47,22
sj,2000,48,14
sj,2000,49,16
sj,2000,50,18
sj,2000,51,27
sj,2001,1,38
sj,2001,2,35
sj,2001,3,41
sj,2001,4,51
sj,2001,5,65
sj,2001,6,55
sj,2001,7,54
sj,2001,8,62
sj,2001,9,64
sj,2001,10,56
sj,2001,11,65
sj,2001,12,71
sj,2001,13,75
sj,2001,14,71
sj,2001,15,72
sj,2001,16,47
sj,2001,17,27
sj,2001,18,35
sj,2001,19,25
sj,2001,20,19
sj,2001,21,37
sj,2001,22,38
sj,2001,23,34
sj,2001,24,26
sj,2001,25,19
sj,2001,26,18
sj,2001,27,22
sj,2001,28,16
sj,2001,29,18
sj,2001,30,6
sj,2001,31,12
sj,2001,32,6
sj,2001,33,6
sj,2001,34,3
sj,2001,35,7
sj,2001,36,6
sj,2001,37,1
sj,2001,38,3
sj,2001,39,2
sj,2001,40,2
sj,2001,41,1
sj,2001,42,10
sj,2001,43,3
sj,2001,44,3
sj,2001,45,1
sj,2001,46,1
sj,2001,47,2
sj,2001,48,6
sj,2001,49,3
sj,2001,50,3
sj,2001,51,5
sj,2001,52,4
sj,2002,1,7
sj,2002,2,6
sj,2002,3,5
sj,2002,4,7
sj,2002,5,6
sj,2002,6,4
sj,2002,7,4
sj,2002,8,7
sj,2002,9,9
sj,2002,10,5
sj,2002,11,5
sj,2002,12,10
sj,2002,13,6
sj,2002,14,13
sj,2002,15,6
sj,2002,16,5
sj,2002,17,5
sj,2002,18,9
sj,2002,19,3
sj,2002,20,6
sj,2002,21,11
sj,2002,22,7
sj,2002,23,7
sj,2002,24,15
sj,2002,25,9
sj,2002,26,6
sj,2002,27,6
sj,2002,28,6
sj,2002,29,7
sj,2002,30,10
sj,2002,31,8
sj,2002,32,7
sj,2002,33,12
sj,2002,34,3
sj,2002,35,2
sj,2002,36,7
sj,2002,37,5
sj,2002,38,5
sj,2002,39,7
sj,2002,40,7
sj,2002,41,7
sj,2002,42,7
sj,2002,43,10
sj,2002,44,13
sj,2002,45,10
sj,2002,46,14
sj,2002,47,11
sj,2002,48,20
sj,2002,49,25
sj,2002,50,17
sj,2002,51,18
sj,2002,52,25
sj,2003,1,21
sj,2003,2,31
sj,2003,3,32
sj,2003,4,26
sj,2003,5,35
sj,2003,6,28
sj,2003,7,37
sj,2003,8,41
sj,2003,9,34
sj,2003,10,30
sj,2003,11,39
sj,2003,12,39
sj,2003,13,39
sj,2003,14,34
sj,2003,15,30
sj,2003,16,37
sj,2003,17,29
sj,2003,18,26
sj,2003,19,15
sj,2003,20,22
sj,2003,21,15
sj,2003,22,20
sj,2003,23,14
sj,2003,24,10
sj,2003,25,21
sj,2003,26,14
sj,2003,27,14
sj,2003,28,9
sj,2003,29,11
sj,2003,30,5
sj,2003,31,6
sj,2003,32,7
sj,2003,33,11
sj,2003,34,4
sj,2003,35,3
sj,2003,36,2
sj,2003,37,6
sj,2003,38,10
sj,2003,39,7
sj,2003,40,5
sj,2003,41,3
sj,2003,42,12
sj,2003,43,13
sj,2003,44,10
sj,2003,45,13
sj,2003,46,13
sj,2003,47,8
sj,2003,48,21
sj,2003,49,18
sj,2003,50,8
sj,2003,51,7
sj,2003,52,20
sj,2004,1,14
sj,2004,2,14
sj,2004,3,7
sj,2004,4,14
sj,2004,5,10
sj,2004,6,13
sj,2004,7,27
sj,2004,8,13
sj,2004,9,18
sj,2004,10,16
sj,2004,11,16
sj,2004,12,20
sj,2004,13,17
sj,2004,14,4
sj,2004,15,15
sj,2004,16,8
sj,2004,17,6
sj,2004,18,12
sj,2004,19,15
sj,2004,20,11
sj,2004,21,10
sj,2004,22,15
sj,2004,23,17
sj,2004,24,7
sj,2004,25,7
sj,2004,26,8
sj,2004,27,9
sj,2004,28,12
sj,2004,29,12
sj,2004,30,5
sj,2004,31,4
sj,2004,32,11
sj,2004,33,4
sj,2004,34,5
sj,2004,35,7
sj,2004,36,1
sj,2004,37,1
sj,2004,38,4
sj,2004,39,2
sj,2004,40,6
sj,2004,41,3
sj,2004,42,4
sj,2004,43,10
sj,2004,44,12
sj,2004,45,21
sj,2004,46,26
sj,2004,47,21
sj,2004,48,30
sj,2004,49,45
sj,2004,50,56
sj,2004,51,75
sj,2004,52,83
sj,2005,53,82
sj,2005,1,126
sj,2005,2,119
sj,2005,3,137
sj,2005,4,131
sj,2005,5,112
sj,2005,6,82
sj,2005,7,73
sj,2005,8,43
sj,2005,9,55
sj,2005,10,55
sj,2005,11,53
sj,2005,12,46
sj,2005,13,43
sj,2005,14,29
sj,2005,15,22
sj,2005,16,26
sj,2005,17,13
sj,2005,18,17
sj,2005,19,8
sj,2005,20,13
sj,2005,21,10
sj,2005,22,17
sj,2005,23,19
sj,2005,24,9
sj,2005,25,9
sj,2005,26,9
sj,2005,27,3
sj,2005,28,7
sj,2005,29,7
sj,2005,30,0
sj,2005,31,2
sj,2005,32,3
sj,2005,33,3
sj,2005,34,1
sj,2005,35,3
sj,2005,36,3
sj,2005,37,3
sj,2005,38,7
sj,2005,39,3
sj,2005,40,5
sj,2005,41,11
sj,2005,42,5
sj,2005,43,5
sj,2005,44,6
sj,2005,45,6
sj,2005,46,4
sj,2005,47,4
sj,2005,48,8
sj,2005,49,14
sj,2005,50,12
sj,2005,51,16
sj,2006,52,10
sj,2006,1,16
sj,2006,2,18
sj,2006,3,15
sj,2006,4,23
sj,2006,5,17
sj,2006,6,33
sj,2006,7,15
sj,2006,8,13
sj,2006,9,11
sj,2006,10,14
sj,2006,11,17
sj,2006,12,19
sj,2006,13,20
sj,2006,14,12
sj,2006,15,21
sj,2006,16,7
sj,2006,17,19
sj,2006,18,10
sj,2006,19,13
sj,2006,20,10
sj,2006,21,8
sj,2006,22,21
sj,2006,23,11
sj,2006,24,9
sj,2006,25,14
sj,2006,26,14
sj,2006,27,15
sj,2006,28,18
sj,2006,29,16
sj,2006,30,12
sj,2006,31,20
sj,2006,32,8
sj,2006,33,3
sj,2006,34,13
sj,2006,35,4
sj,2006,36,1
sj,2006,37,10
sj,2006,38,8
sj,2006,39,13
sj,2006,40,10
sj,2006,41,21
sj,2006,42,18
sj,2006,43,21
sj,2006,44,34
sj,2006,45,25
sj,2006,46,34
sj,2006,47,33
sj,2006,48,40
sj,2006,49,42
sj,2006,50,36
sj,2006,51,72
sj,2007,1,75
sj,2007,2,76
sj,2007,3,92
sj,2007,4,71
sj,2007,5,112
sj,2007,6,106
sj,2007,7,101
sj,2007,8,170
sj,2007,9,135
sj,2007,10,106
sj,2007,11,68
sj,2007,12,48
sj,2007,13,48
sj,2007,14,26
sj,2007,15,33
sj,2007,16,29
sj,2007,17,17
sj,2007,18,12
sj,2007,19,13
sj,2007,20,17
sj,2007,21,15
sj,2007,22,14
sj,2007,23,15
sj,2007,24,10
sj,2007,25,9
sj,2007,26,2
sj,2007,27,6
sj,2007,28,8
sj,2007,29,5
sj,2007,30,1
sj,2007,31,2
sj,2007,32,3
sj,2007,33,4
sj,2007,34,3
sj,2007,35,1
sj,2007,36,3
sj,2007,37,5
iq,2000,26,0
iq,2000,27,0
iq,2000,28,0
iq,2000,29,0
iq,2000,30,0
iq,2000,31,0
iq,2000,32,0
iq,2000,33,0
iq,2000,34,0
iq,2000,35,1
iq,2000,36,0
iq,2000,37,0
iq,2000,38,0
iq,2000,39,0
iq,2000,40,1
iq,2000,41,1
iq,2000,42,0
iq,2000,43,0
iq,2000,44,1
iq,2000,45,0
iq,2000,46,0
iq,2000,47,0
iq,2000,48,0
iq,2000,49,0
iq,2000,50,0
iq,2000,51,0
iq,2001,1,0
iq,2001,2,0
iq,2001,3,0
iq,2001,4,0
iq,2001,5,0
iq,2001,6,0
iq,2001,7,0
iq,2001,8,0
iq,2001,9,0
iq,2001,10,0
iq,2001,11,0
iq,2001,12,0
iq,2001,13,0
iq,2001,14,0
iq,2001,15,1
iq,2001,16,1
iq,2001,17,1
iq,2001,18,2
iq,2001,19,4
iq,2001,20,1
iq,2001,21,4
iq,2001,22,11
iq,2001,23,16
iq,2001,24,23
iq,2001,25,12
iq,2001,26,14
iq,2001,27,18
iq,2001,28,8
iq,2001,29,7
iq,2001,30,10
iq,2001,31,7
iq,2001,32,10
iq,2001,33,5
iq,2001,34,11
iq,2001,35,8
iq,2001,36,18
iq,2001,37,13
iq,2001,38,9
iq,2001,39,22
iq,2001,40,10
iq,2001,41,5
iq,2001,42,13
iq,2001,43,2
iq,2001,44,11
iq,2001,45,11
iq,2001,46,3
iq,2001,47,7
iq,2001,48,7
iq,2001,49,4
iq,2001,50,5
iq,2001,51,6
iq,2001,52,7
iq,2002,1,7
iq,2002,2,4
iq,2002,3,9
iq,2002,4,17
iq,2002,5,8
iq,2002,6,22
iq,2002,7,18
iq,2002,8,21
iq,2002,9,16
iq,2002,10,31
iq,2002,11,25
iq,2002,12,28
iq,2002,13,26
iq,2002,14,18
iq,2002,15,27
iq,2002,16,11
iq,2002,17,38
iq,2002,18,29
iq,2002,19,21
iq,2002,20,11
iq,2002,21,10
iq,2002,22,5
iq,2002,23,6
iq,2002,24,2
iq,2002,25,1
iq,2002,26,2
iq,2002,27,2
iq,2002,28,3
iq,2002,29,5
iq,2002,30,1
iq,2002,31,4
iq,2002,32,2
iq,2002,33,4
iq,2002,34,0
iq,2002,35,0
iq,2002,36,0
iq,2002,37,0
iq,2002,38,1
iq,2002,39,1
iq,2002,40,1
iq,2002,41,1
iq,2002,42,1
iq,2002,43,2
iq,2002,44,3
iq,2002,45,4
iq,2002,46,6
iq,2002,47,2
iq,2002,48,2
iq,2002,49,5
iq,2002,50,1
iq,2002,51,1
iq,2002,52,0
iq,2003,1,0
iq,2003,2,0
iq,2003,3,0
iq,2003,4,2
iq,2003,5,0
iq,2003,6,3
iq,2003,7,0
iq,2003,8,0
iq,2003,9,0
iq,2003,10,2
iq,2003,11,2
iq,2003,12,3
iq,2003,13,3
iq,2003,14,3
iq,2003,15,1
iq,2003,16,2
iq,2003,17,3
iq,2003,18,6
iq,2003,19,5
iq,2003,20,1
iq,2003,21,4
iq,2003,22,5
iq,2003,23,8
iq,2003,24,5
iq,2003,25,2
iq,2003,26,3
iq,2003,27,3
iq,2003,28,1
iq,2003,29,6
iq,2003,30,4
iq,2003,31,1
iq,2003,32,2
iq,2003,33,3
iq,2003,34,1
iq,2003,35,8
iq,2003,36,4
iq,2003,37,6
iq,2003,38,7
iq,2003,39,5
iq,2003,40,8
iq,2003,41,6
iq,2003,42,5
iq,2003,43,6
iq,2003,44,6
iq,2003,45,13
iq,2003,46,2
iq,2003,47,10
iq,2003,48,3
iq,2003,49,12
iq,2003,50,7
iq,2003,51,6
iq,2003,52,5
iq,2004,1,6
iq,2004,2,6
iq,2004,3,6
iq,2004,4,8
iq,2004,5,6
iq,2004,6,9
iq,2004,7,12
iq,2004,8,19
iq,2004,9,8
iq,2004,10,16
iq,2004,11,21
iq,2004,12,6
iq,2004,13,22
iq,2004,14,37
iq,2004,15,33
iq,2004,16,18
iq,2004,17,83
iq,2004,18,116
iq,2004,19,32
iq,2004,20,7
iq,2004,21,9
iq,2004,22,10
iq,2004,23,5
iq,2004,24,8
iq,2004,25,7
iq,2004,26,8
iq,2004,27,11
iq,2004,28,6
iq,2004,29,7
iq,2004,30,7
iq,2004,31,14
iq,2004,32,7
iq,2004,33,9
iq,2004,34,13
iq,2004,35,16
iq,2004,36,7
iq,2004,37,9
iq,2004,38,2
iq,2004,39,13
iq,2004,40,8
iq,2004,41,3
iq,2004,42,5
iq,2004,43,4
iq,2004,44,8
iq,2004,45,2
iq,2004,46,3
iq,2004,47,5
iq,2004,48,7
iq,2004,49,3
iq,2004,50,5
iq,2004,51,6
iq,2004,52,5
iq,2005,53,5
iq,2005,1,4
iq,2005,2,0
iq,2005,3,0
iq,2005,4,0
iq,2005,5,0
iq,2005,6,0
iq,2005,7,2
iq,2005,8,4
iq,2005,9,4
iq,2005,10,3
iq,2005,11,3
iq,2005,12,5
iq,2005,13,6
iq,2005,14,14
iq,2005,15,3
iq,2005,16,7
iq,2005,17,11
iq,2005,18,2
iq,2005,19,6
iq,2005,20,8
iq,2005,21,25
iq,2005,22,21
iq,2005,23,10
iq,2005,24,28
iq,2005,25,39
iq,2005,26,20
iq,2005,27,24
iq,2005,28,28
iq,2005,29,26
iq,2005,30,8
iq,2005,31,9
iq,2005,32,12
iq,2005,33,18
iq,2005,34,9
iq,2005,35,9
iq,2005,36,6
iq,2005,37,6
iq,2005,38,8
iq,2005,39,5
iq,2005,40,7
iq,2005,41,6
iq,2005,42,5
iq,2005,43,3
iq,2005,44,1
iq,2005,45,0
iq,2005,46,1
iq,2005,47,2
iq,2005,48,3
iq,2005,49,2
iq,2005,50,2
iq,2005,51,2
iq,2006,52,2
iq,2006,1,2
iq,2006,2,4
iq,2006,3,0
iq,2006,4,6
iq,2006,5,3
iq,2006,6,2
iq,2006,7,6
iq,2006,8,2
iq,2006,9,7
iq,2006,10,4
iq,2006,11,6
iq,2006,12,6
iq,2006,13,2
iq,2006,14,13
iq,2006,15,10
iq,2006,16,5
iq,2006,17,2
iq,2006,18,0
iq,2006,19,1
iq,2006,20,0
iq,2006,21,14
iq,2006,22,6
iq,2006,23,10
iq,2006,24,5
iq,2006,25,12
iq,2006,26,9
iq,2006,27,5
iq,2006,28,11
iq,2006,29,2
iq,2006,30,6
iq,2006,31,7
iq,2006,32,6
iq,2006,33,5
iq,2006,34,9
iq,2006,35,5
iq,2006,36,8
iq,2006,37,3
iq,2006,38,4
iq,2006,39,11
iq,2006,40,5
iq,2006,41,8
iq,2006,42,4
iq,2006,43,3
iq,2006,44,1
iq,2006,45,2
iq,2006,46,3
iq,2006,47,4
iq,2006,48,1
iq,2006,49,8
iq,2006,50,5
iq,2006,51,3
iq,2007,1,2
iq,2007,2,7
iq,2007,3,1
iq,2007,4,6
iq,2007,5,7
iq,2007,6,5
iq,2007,7,2
iq,2007,8,6
iq,2007,9,11
iq,2007,10,6
iq,2007,11,3
iq,2007,12,11
iq,2007,13,11
iq,2007,14,5
iq,2007,15,4
iq,2007,16,9
iq,2007,17,23
iq,2007,18,28
iq,2007,19,26
iq,2007,20,7
iq,2007,21,29
iq,2007,22,58
iq,2007,23,26
iq,2007,24,38
iq,2007,25,35
iq,2007,26,37
iq,2007,27,20
iq,2007,28,29
iq,2007,29,25
iq,2007,30,23
iq,2007,31,9
iq,2007,32,3
iq,2007,33,6
iq,2007,34,6
iq,2007,35,3
iq,2007,36,1
iq,2007,37,3
iq,2007,38,1
iq,2007,39,1
iq,2007,40,0
iq,2007,41,2
iq,2007,42,1
iq,2007,43,1
iq,2007,44,0
iq,2007,45,0
iq,2007,46,1
iq,2007,47,0
iq,2007,48,3
iq,2007,49,3
iq,2007,50,1
iq,2007,51,5
iq,2007,52,2
iq,2008,1,5
iq,2008,2,5
iq,2008,3,5
iq,2008,4,9
iq,2008,5,17
iq,2008,6,19
iq,2008,7,25
iq,2008,8,45
iq,2008,9,34
iq,2008,10,63
iq,2008,11,44
iq,2008,12,50
iq,2008,13,35
iq,2008,14,16
iq,2008,15,16
iq,2008,16,13
iq,2008,17,9
iq,2008,18,15
iq,2008,19,4
iq,2008,20,0
iq,2008,21,1
iq,2008,22,10
iq,2008,23,11
iq,2008,24,29
iq,2008,25,35
iq,2008,26,30
iq,2008,27,20
iq,2008,28,21
iq,2008,29,12
iq,2008,30,9
iq,2008,31,11
iq,2008,32,9
iq,2008,33,5
iq,2008,34,11
iq,2008,35,3
iq,2008,36,5
iq,2008,37,5
iq,2008,38,4
iq,2008,39,4
iq,2008,40,1
iq,2008,41,0
iq,2008,42,2
iq,2008,43,3
iq,2008,44,3
iq,2008,45,5
iq,2008,46,2
iq,2008,47,1
iq,2008,48,2
iq,2008,49,0
iq,2008,50,0
iq,2008,51,3
iq,2008,52,5
iq,2009,1,5
iq,2009,2,7
iq,2009,3,5
iq,2009,4,2
iq,2009,5,2
iq,2009,6,2
iq,2009,7,0
iq,2009,8,2
iq,2009,9,1
iq,2009,10,1
iq,2009,11,2
iq,2009,12,2
iq,2009,13,3
iq,2009,14,9
iq,2009,15,5
iq,2009,16,5
iq,2009,17,4
iq,2009,18,4
iq,2009,19,1
iq,2009,20,0
iq,2009,21,0
iq,2009,22,10
iq,2009,23,9
iq,2009,24,17
iq,2009,25,16
iq,2009,26,11
iq,2009,27,12
iq,2009,28,19
iq,2009,29,15
iq,2009,30,12
iq,2009,31,12
iq,2009,32,16
iq,2009,33,9
iq,2009,34,4
iq,2009,35,9
iq,2009,36,6
iq,2009,37,8
iq,2009,38,4
iq,2009,39,2
iq,2009,40,7
iq,2009,41,6
iq,2009,42,5
iq,2009,43,8
iq,2009,44,1
iq,2009,45,1
iq,2009,46,4
